City,Latitude,Longitude,Temperature
puerto ayora,-0.7393,-90.3518,80.6
boa viagem,-5.1275,-39.7322,74.61
hermanus,-34.4187,19.2345,51.01
lahaina,20.8783,-156.6825,78.26
bluff,-46.6,168.3333,57
busselton,-33.65,115.3333,59.22
haapiti,-17.5667,-149.8667,84.09
kilindoni,-7.9139,39.6668,80.24
rikitea,-23.1203,-134.9692,76.21
zyryanka,65.75,150.85,29.86
alice springs,-23.7,133.8833,51.8
saint-philippe,-21.3585,55.7679,69.03
jamestown,42.097,-79.2353,69.01
upernavik,72.7868,-56.1549,23.65
cherskiy,68.75,161.3,28.49
shache,38.4167,77.2406,62.38
port elizabeth,-33.918,25.5701,60.8
punta arenas,-53.15,-70.9167,41
bengkulu,-3.8004,102.2655,75.09
holalkere,14.0333,76.1833,78.28
stepnogorsk,52.3544,71.8869,50.76
bambous virieux,-20.3428,57.7575,75
aracataca,10.5918,-74.1898,84
tiksi,71.6872,128.8694,23.97
abbeville,50.1,1.8333,44.89
alpena,45.0617,-83.4327,48.09
severo-kurilsk,50.6789,156.125,36.16
zhaotong,27.3167,103.7167,46.08
hithadhoo,-0.6,73.0833,83.03
luderitz,-26.6481,15.1594,60.84
nova olimpia,-14.7972,-57.2881,73.65
avarua,-21.2078,-159.775,84.2
gagnoa,6.1293,-5.9437,75.9
lorengau,-2.0226,147.2712,83.62
butaritari,3.0707,172.7902,82.54
asilah,35.465,-6.0348,60.8
ancud,-41.8697,-73.8203,55.53
kenai,60.5544,-151.2583,56.12
sultanpur,26.2667,82.0667,87.26
sobolevo,54.4299,31.8996,34.81
starokamyshinsk,55.0554,61.6031,37.4
carnarvon,-24.8667,113.6333,60.8
tuktoyaktuk,69.4541,-133.0374,28.4
hilo,19.7297,-155.09,78.75
mangrol,21.1167,70.1167,80.13
boueni,-12.9025,45.0761,78.8
mataura,-46.1927,168.8643,57
atuona,-9.8,-139.0333,79.5
cayenne,4.9333,-52.3333,77
mitsamiouli,-11.3847,43.2844,80.6
muroto,33.2833,134.15,62.6
geraldton,-28.7667,114.6,59
chokurdakh,70.6333,147.9167,14.32
ishigaki,24.3448,124.1572,73.4
honiara,-9.4333,159.95,83.43
kloulklubed,7.0419,134.2556,78.8
saint george,37.1041,-113.5841,76.35
nikolskoye,59.7035,30.7861,30.83
moose factory,51.2585,-80.6094,50
vaini,-21.2,-175.2,78.8
bubaque,11.2833,-15.8333,77.77
iqaluit,63.7506,-68.5145,30.09
camana,-16.6228,-72.7111,67.98
albany,42.6001,-73.9662,59.59
port blair,11.6667,92.75,81.55
laguna,38.421,-121.4238,85.53
qeshm,26.9581,56.2719,80.58
chernyshevskiy,63.0128,112.4714,24.1
hobart,-42.8794,147.3294,56.01
zhovti vody,48.3473,33.5003,41
fandriana,-20.2333,47.3833,60.66
cape town,-33.9258,18.4232,54.75
ixtapa,20.7,-105.2,78.8
hami,42.8,93.45,60.76
salinopolis,-0.6136,-47.3561,79.12
new norfolk,-42.7826,147.0587,53.58
port alfred,-33.5906,26.891,66.27
lerwick,60.1545,-1.1494,37.4
flin flon,54.7682,-101.865,35.6
cockburn town,21.4612,-71.1419,77
ushuaia,-54.8,-68.3,39.2
xuddur,4.1213,43.8894,75.43
ribeira grande,38.5167,-28.7,59.38
constitucion,-35.3333,-72.4167,58.26
nantucket,41.2835,-70.0995,49.14
merauke,-8.4667,140.3333,75.92
puro,12.4841,123.3827,78.37
sao filipe,14.8961,-24.4956,72.37
petropavl,54.8753,69.1628,46.02
brae,60.3964,-1.353,37.4
qaanaaq,77.484,-69.3632,30.78
hammerfest,70.6634,23.6821,26.6
broome,42.2506,-75.833,62.51
pisco,-13.7,-76.2167,66.52
ponta do sol,32.6667,-17.1,55.27
san quintin,30.4833,-115.95,65.34
yara,20.2753,-76.9533,76.84
bida,9.0833,6.0167,83.73
beisfjord,68.3751,17.5988,30.2
cururupu,-1.8283,-44.8683,75.49
goderich,43.7501,-81.7165,42.8
bredasdorp,-34.5322,20.0403,55.4
chapais,49.7834,-74.8492,57.2
palu,-0.8917,119.8707,76.53
stratford,41.1845,-73.1332,61.47
port hardy,50.6996,-127.4199,51.1
estelle,29.8458,-90.1067,82.02
najran,17.4924,44.1277,71.6
hasaki,35.7333,140.8333,60.62
palmer,42.1584,-72.3287,68.77
victor harbor,-35.5667,138.6167,59.61
nelson bay,-32.7167,152.15,59.43
sorland,67.667,12.6934,37.17
mahebourg,-20.4081,57.7,75
arraial do cabo,-22.9661,-42.0278,73.4
xai-xai,-25.0519,33.6442,67.86
porto uniao,-26.2381,-51.0783,52.41
rio grande,-32.035,-52.0986,54
mar del plata,-38.0023,-57.5575,66.24
high rock,26.6208,-78.2833,78.8
