index,City,Latitude,Longitude,Temperature,Max Temp,Humidity,Wind Speed (mph),Cloudiness,Country
0,hithadhoo,-0.6,73.0833,84.07,84.07,71,7.31,72,MV
1,hami,42.8,93.45,75,75,13,7.63,2,CN
2,qui nhon,13.7667,109.2333,82.45,82.45,68,5.41,66,VN
3,cidreira,-30.1811,-50.2056,65.14,65.14,78,6.87,1,BR
4,khatanga,71.9667,102.5,32.2,32.2,93,6.96,100,RU
5,manzhouli,49.6,117.4333,37.65,37.65,60,4.23,95,CN
7,castro,-24.7911,-50.0119,50.59,50.59,96,4.99,1,BR
8,poum,-20.2333,164.0167,77.85,77.85,58,15.08,95,NC
9,port hedland,-20.3167,118.5667,89.6,89.6,23,9.22,0,AU
10,hilo,19.7297,-155.09,76.03,82.4,57,8.05,1,US
11,blythe,33.6103,-114.5964,96.8,96.8,7,8.05,1,US
12,jamestown,42.097,-79.2353,47.17,48,93,10.36,90,US
13,westport,41.1415,-73.3579,59.18,61,94,4.61,20,US
14,codrington,-38.2667,141.9667,72.25,72.25,39,10.16,0,AU
15,myitkyina,25.3833,97.4,89.56,89.56,36,0.69,15,MM
16,lumut,4.2323,100.6298,78.4,78.8,89,3.44,20,MY
17,atuona,-9.8,-139.0333,79.54,79.54,68,3.69,5,PF
18,port macquarie,-31.4333,152.9167,72.52,73,59,3.38,6,AU
20,thompson,55.7435,-97.8558,32,32,43,13.8,20,CA
21,guerrero negro,27.9769,-114.0611,65.14,65.14,67,16.13,0,MX
22,vaini,-21.2,-175.2,75.2,75.2,100,11.5,75,TO
23,fram,-26.9833,-55.8833,64.4,64.4,59,4.61,0,PY
25,acapulco,16.8634,-99.8901,80.6,80.6,83,12.66,75,MX
26,yellowknife,62.456,-114.3525,29.82,30.99,51,9.22,75,CA
27,iqaluit,63.7506,-68.5145,33.4,33.8,93,4.61,90,CA
28,bethel,41.3712,-73.414,63.81,68,77,5.75,75,US
29,upernavik,72.7868,-56.1549,24.55,24.55,63,3.74,100,GL
30,butaritari,3.0707,172.7902,83.88,83.88,71,13.2,100,KI
31,albany,42.6001,-73.9662,55.13,55.99,90,1.01,100,US
32,avarua,-21.2078,-159.775,84.2,84.2,79,9.22,75,CK
33,southbridge,42.0751,-72.0334,53.69,57.99,97,7.23,100,US
34,kangaatsiaq,68.3065,-53.4641,32.74,32.74,87,2.04,100,GL
35,hobart,-42.8794,147.3294,62.87,66,72,9.22,20,AU
36,saint-philippe,-21.3585,55.7679,73.02,75.2,78,10.36,90,RE
37,punta arenas,-53.15,-70.9167,42.39,42.8,93,12.66,90,CL
38,kapaa,22.0752,-159.319,76.82,78.8,57,9.22,20,US
39,tallahassee,30.4383,-84.2807,74.62,75.2,73,5.75,75,US
40,tasiilaq,65.6145,-37.6368,32,32,86,16.11,100,GL
41,pisco,-13.7,-76.2167,66.11,66.2,88,8.05,0,PE
42,seminole,28.7086,-81.2081,79.81,82.4,51,11.5,40,US
43,mindelo,16.8901,-24.9804,71.6,71.6,73,18.41,75,CV
44,mahebourg,-20.4081,57.7,77,77,83,8.05,75,MU
45,virden,39.5009,-89.7679,64.65,69.01,75,5.01,0,US
47,cayenne,4.9333,-52.3333,76.24,77,94,2.48,0,GF
48,samfya,-11.3649,29.5565,64.22,64.22,93,5.99,41,ZM
49,grafton,42.207,-71.6856,48.52,48.99,93,8.05,90,US
50,kasongo-lunda,-6.4667,16.8167,70.39,70.39,97,0.43,100,CD
51,georgiyevka,43.0369,74.7114,64.4,64.4,42,13.42,0,KZ
52,busselton,-33.65,115.3333,53.91,55,93,1.01,34,AU
53,kozhva,65.1073,57.0459,30.72,30.72,57,2.42,59,RU
54,souillac,-20.5167,57.5167,77,77,83,8.05,75,MU
55,taft,31.7471,54.2088,71.6,71.6,23,11.5,40,IR
56,kodiak,57.79,-152.4072,42.8,42.8,81,3.44,90,US
57,new norfolk,-42.7826,147.0587,62.94,66,61,5.01,8,AU
58,mar del plata,-38.0023,-57.5575,61.3,62.01,82,6.91,0,AR
59,kaitangata,-46.2817,169.8464,57.99,57.99,53,13,82,NZ
61,ribeira grande,38.5167,-28.7,57.54,57.54,64,8.86,100,PT
62,rusape,-18.5278,32.1284,57.81,57.81,91,4.14,5,ZW
63,iralaya,15,-83.2333,82.4,82.4,83,6.91,40,HN
64,sompeta,18.9333,84.6,84.4,84.4,70,10.87,0,IN
65,cabo san lucas,22.8909,-109.9124,75.97,77,38,11.5,1,MX
66,zhangye,38.9342,100.4517,66.9,66.9,17,0.65,0,CN
67,dunedin,-45.8742,170.5036,55.99,55.99,69,18.99,100,NZ
68,cape town,-33.9258,18.4232,55.56,59,93,5.75,0,ZA
69,vanino,49.0869,140.2543,37.11,37.11,88,6.42,100,RU
70,bhimunipatnam,17.8833,83.4333,78.8,78.8,89,3.44,40,IN
71,aklavik,68.2191,-135.0107,42.8,42.8,39,4.61,40,CA
72,mataura,-46.1927,168.8643,54,54,73,17,70,NZ
73,qaanaaq,77.484,-69.3632,25.99,25.99,64,9.48,100,GL
74,puerto ayora,-0.7393,-90.3518,75.78,75.78,83,7.18,12,EC
76,leh,34.1667,77.5833,37.81,37.81,53,0.34,12,IN
77,caraballeda,10.6112,-66.8522,71.35,75.2,88,3.62,40,VE
78,hermanus,-34.4187,19.2345,50,50,92,3.69,50,ZA
79,ushuaia,-54.8,-68.3,39.2,39.2,70,4.21,75,AR
80,kruisfontein,-34.0033,24.7314,55.99,55.99,94,1.01,100,ZA
81,rikitea,-23.1203,-134.9692,76.78,76.78,66,12.68,87,PF
82,tuy hoa,13.0833,109.3,83.43,83.43,69,6.08,54,VN
83,wattegama,6.7989,81.4808,78.91,78.91,82,1.68,97,LK
84,barrow,71.2906,-156.7887,19.4,19.4,86,5.75,90,US
85,villa carlos paz,-31.4241,-64.4978,58.1,64,72,4,0,AR
86,dikson,73.5069,80.5464,6.64,6.64,94,8.14,63,RU
87,yinchuan,38.4681,106.2731,63.23,63.23,24,6.04,5,CN
88,bud,39.447,-86.1758,54.68,55,83,6.26,2,US
89,belyy yar,53.6039,91.3903,42.8,42.8,100,2.24,75,RU
90,bluff,-46.6,168.3333,55,55,71,17,31,NZ
91,point pedro,9.8167,80.2333,83.17,83.17,76,5.99,25,LK
92,chenghai,23.4632,116.768,75.2,75.2,73,4.47,20,CN
94,jalu,29.0331,21.5482,78.91,78.91,15,12.24,2,LY
95,andenes,69.3143,16.1194,30.2,30.2,69,14.97,90,NO
96,gizo,-8.103,156.8419,83.03,83.03,73,4.36,65,SB
98,kousseri,12.0769,15.0306,86,86,23,13.8,71,CM
99,tuatapere,-46.1333,167.6833,55,55,71,17,60,NZ
100,carauari,-4.8828,-66.8958,73.08,73.08,98,1.99,100,BR
101,port alfred,-33.5906,26.891,62.8,62.8,72,14.25,100,ZA
102,port elizabeth,-33.918,25.5701,55.99,55.99,95,1.01,98,ZA
103,wufeng,27.45,104.8333,64.26,64.26,54,2.08,94,CN
104,hualmay,-11.0964,-77.6139,66.74,66.74,85,9.22,0,PE
105,araure,9.5601,-69.2148,69.8,69.8,100,6.91,100,VE
107,havre-saint-pierre,50.2334,-63.5986,39.2,39.2,93,4.61,90,CA
108,klaksvik,62.2266,-6.589,37.4,37.4,65,9.22,90,FO
109,key west,24.5557,-81.7826,79.59,80.6,74,11.5,1,US
110,nelson bay,-32.7167,152.15,68.68,69.8,68,4.61,40,AU
111,wanning,18.8003,110.3967,81,81,72,2.57,53,CN
112,airai,-8.9266,125.4092,71.17,71.17,65,3.15,16,TL
114,ponta do sol,32.6667,-17.1,51.49,57,77,3,29,PT
115,evanston,42.0411,-87.6901,55.24,57.2,67,11.5,40,US
116,vikhorevka,56.1201,101.1636,35.29,35.6,69,4.47,94,RU
117,te anau,-45.4167,167.7167,59.09,59.09,66,2.42,6,NZ
118,luderitz,-26.6481,15.1594,55.8,55.8,77,21.47,0,NA
119,east london,-33.0153,27.9116,63.23,63.23,82,13.65,100,ZA
120,port moresby,-9.4431,147.1797,86,86,62,3.44,40,PG
121,sangmelima,2.9333,11.9833,67.64,67.64,97,0.07,100,CM
122,grand-lahou,5.1367,-5.0242,80.28,80.28,84,6.58,100,CI
123,surt,31.2089,16.5887,81.1,81.1,32,10.02,1,LY
124,yulara,-25.2406,130.9889,71.6,71.6,23,14.97,9,AU
125,bubaque,11.2833,-15.8333,77.76,77.76,68,14.09,65,GW
126,lichuan,30.3,108.85,71.08,71.08,50,1.95,67,CN
127,vardo,70.3705,31.1107,30.67,30.67,93,22.53,100,NO
128,houma,29.5958,-90.7195,78.39,79,87,5.99,0,US
129,bambanglipuro,-7.95,110.2833,82.51,82.51,72,2.71,58,ID
130,zeerust,-25.5369,26.0751,55.4,55.4,100,10.36,54,ZA
131,mehamn,71.0357,27.8492,27.97,27.97,62,19.15,100,NO
132,puerto narino,-3.7703,-70.3831,75.2,75.2,100,4.61,75,CO
133,tiksi,71.6872,128.8694,32.07,32.07,83,5.06,78,RU
